,WATER_SYSTEM_NUMBER,WATER_SYSTEM_NAME,CITY,COUNTY,ZIPCODE,CLASSIFICATION,POPULATION,SERVICE_CONNECTIONS,REGULATING_AGENCY,VIOLATION_NUMBER,VIOLATION_TYPE_NAME,ANALYTE_NAME,RESULT,MCL,VIOL_BEGIN_DATE,VIOL_END_DATE,ENF_ACTION_NUMBER,ENF_ACTION_ISSUE_DATE,ENF_ACTION_TYPE_ISSUED,viol_duration,respose_time,issue_action_time,NUM_ACTIVE_ISSUES
1453,CA1500424,LANDS OF PROMISE MWC,ROSAMOND,KERN,93560,COMMUNITY,171,65,DISTRICT 19 - TEHACHAPI,1219028,"MCL,  AVERAGE",ARSENIC,.01700000 MG/L,0.010 MG/L,2012-07-01,2012-09-30,919019,2009-01-23,FORMAL ENFORCEMENT ACTION ISSUED,91.0,-1255.0,1346.0,4
1454,CA1500424,LANDS OF PROMISE MWC,ROSAMOND,KERN,93560,COMMUNITY,171,65,DISTRICT 19 - TEHACHAPI,9712006,"MCL,  AVERAGE",ARSENIC,0.018 MG/L,0.010 MG/L,2012-10-01,2012-12-31,919019,2009-01-23,FORMAL ENFORCEMENT ACTION ISSUED,91.0,-1347.0,1438.0,6
1455,CA1500424,LANDS OF PROMISE MWC,ROSAMOND,KERN,93560,COMMUNITY,171,65,DISTRICT 19 - TEHACHAPI,9712006,"MCL,  AVERAGE",ARSENIC,0.018 MG/L,0.010 MG/L,2012-10-01,2012-12-31,9719010,2018-03-05,STATE INTENTIONAL NO ACTION TAKEN,91.0,1981.0,-1890.0,6
1456,CA1500424,LANDS OF PROMISE MWC,ROSAMOND,KERN,93560,COMMUNITY,171,65,DISTRICT 19 - TEHACHAPI,9712007,"MCL,  AVERAGE",ARSENIC,0.016 MG/L,0.010 MG/L,2013-01-01,2013-03-31,9719010,2018-03-05,STATE INTENTIONAL NO ACTION TAKEN,89.0,1889.0,-1800.0,8
1457,CA1500424,LANDS OF PROMISE MWC,ROSAMOND,KERN,93560,COMMUNITY,171,65,DISTRICT 19 - TEHACHAPI,9712007,"MCL,  AVERAGE",ARSENIC,0.016 MG/L,0.010 MG/L,2013-01-01,2013-03-31,919019,2009-01-23,FORMAL ENFORCEMENT ACTION ISSUED,89.0,-1439.0,1528.0,8
1458,CA1500424,LANDS OF PROMISE MWC,ROSAMOND,KERN,93560,COMMUNITY,171,65,DISTRICT 19 - TEHACHAPI,9712008,"MCL,  AVERAGE",ARSENIC,0.016 MG/L,0.010 MG/L,2013-04-01,2013-06-30,919019,2009-01-23,FORMAL ENFORCEMENT ACTION ISSUED,90.0,-1529.0,1619.0,10
1459,CA1500424,LANDS OF PROMISE MWC,ROSAMOND,KERN,93560,COMMUNITY,171,65,DISTRICT 19 - TEHACHAPI,9712008,"MCL,  AVERAGE",ARSENIC,0.016 MG/L,0.010 MG/L,2013-04-01,2013-06-30,9719010,2018-03-05,STATE INTENTIONAL NO ACTION TAKEN,90.0,1799.0,-1709.0,10
1460,CA1500424,LANDS OF PROMISE MWC,ROSAMOND,KERN,93560,COMMUNITY,171,65,DISTRICT 19 - TEHACHAPI,9712009,"MCL,  AVERAGE",ARSENIC,0.016 MG/L,0.010 MG/L,2013-07-01,2013-09-30,9719010,2018-03-05,STATE INTENTIONAL NO ACTION TAKEN,91.0,1708.0,-1617.0,12
1461,CA1500424,LANDS OF PROMISE MWC,ROSAMOND,KERN,93560,COMMUNITY,171,65,DISTRICT 19 - TEHACHAPI,9712009,"MCL,  AVERAGE",ARSENIC,0.016 MG/L,0.010 MG/L,2013-07-01,2013-09-30,919019,2009-01-23,FORMAL ENFORCEMENT ACTION ISSUED,91.0,-1620.0,1711.0,12
1462,CA1500424,LANDS OF PROMISE MWC,ROSAMOND,KERN,93560,COMMUNITY,171,65,DISTRICT 19 - TEHACHAPI,9712010,"MCL,  AVERAGE",ARSENIC,0.018 MG/L,0.010 MG/L,2013-10-01,2013-12-31,919019,2009-01-23,FORMAL ENFORCEMENT ACTION ISSUED,91.0,-1712.0,1803.0,14
1463,CA1500424,LANDS OF PROMISE MWC,ROSAMOND,KERN,93560,COMMUNITY,171,65,DISTRICT 19 - TEHACHAPI,9712010,"MCL,  AVERAGE",ARSENIC,0.018 MG/L,0.010 MG/L,2013-10-01,2013-12-31,9719010,2018-03-05,STATE INTENTIONAL NO ACTION TAKEN,91.0,1616.0,-1525.0,14
1464,CA1500424,LANDS OF PROMISE MWC,ROSAMOND,KERN,93560,COMMUNITY,171,65,DISTRICT 19 - TEHACHAPI,9712011,"MCL,  AVERAGE",ARSENIC,0.016 MG/L,0.010 MG/L,2014-01-01,2014-03-31,9719010,2018-03-05,STATE INTENTIONAL NO ACTION TAKEN,89.0,1524.0,-1435.0,16
1465,CA1500424,LANDS OF PROMISE MWC,ROSAMOND,KERN,93560,COMMUNITY,171,65,DISTRICT 19 - TEHACHAPI,9712011,"MCL,  AVERAGE",ARSENIC,0.016 MG/L,0.010 MG/L,2014-01-01,2014-03-31,919019,2009-01-23,FORMAL ENFORCEMENT ACTION ISSUED,89.0,-1804.0,1893.0,16
1466,CA1500424,LANDS OF PROMISE MWC,ROSAMOND,KERN,93560,COMMUNITY,171,65,DISTRICT 19 - TEHACHAPI,9712012,"MCL,  AVERAGE",ARSENIC,0.017 MG/L,0.010 MG/L,2014-04-01,2014-06-30,9719010,2018-03-05,STATE INTENTIONAL NO ACTION TAKEN,90.0,1434.0,-1344.0,18
1467,CA1500424,LANDS OF PROMISE MWC,ROSAMOND,KERN,93560,COMMUNITY,171,65,DISTRICT 19 - TEHACHAPI,9712012,"MCL,  AVERAGE",ARSENIC,0.017 MG/L,0.010 MG/L,2014-04-01,2014-06-30,919019,2009-01-23,FORMAL ENFORCEMENT ACTION ISSUED,90.0,-1894.0,1984.0,18
1468,CA1500424,LANDS OF PROMISE MWC,ROSAMOND,KERN,93560,COMMUNITY,171,65,DISTRICT 19 - TEHACHAPI,9712013,"MCL,  AVERAGE",ARSENIC,0.017 MG/L,0.010 MG/L,2014-07-01,2014-09-30,9719010,2018-03-05,STATE INTENTIONAL NO ACTION TAKEN,91.0,1343.0,-1252.0,20
1469,CA1500424,LANDS OF PROMISE MWC,ROSAMOND,KERN,93560,COMMUNITY,171,65,DISTRICT 19 - TEHACHAPI,9712013,"MCL,  AVERAGE",ARSENIC,0.017 MG/L,0.010 MG/L,2014-07-01,2014-09-30,919019,2009-01-23,FORMAL ENFORCEMENT ACTION ISSUED,91.0,-1985.0,2076.0,20
1470,CA1500424,LANDS OF PROMISE MWC,ROSAMOND,KERN,93560,COMMUNITY,171,65,DISTRICT 19 - TEHACHAPI,9712014,"MCL,  AVERAGE",ARSENIC,0.017 MG/L,0.010 MG/L,2014-10-01,2014-12-31,919019,2009-01-23,FORMAL ENFORCEMENT ACTION ISSUED,91.0,-2077.0,2168.0,22
1471,CA1500424,LANDS OF PROMISE MWC,ROSAMOND,KERN,93560,COMMUNITY,171,65,DISTRICT 19 - TEHACHAPI,9712014,"MCL,  AVERAGE",ARSENIC,0.017 MG/L,0.010 MG/L,2014-10-01,2014-12-31,9719008,2015-12-14,FORMAL ENFORCEMENT ACTION ISSUED,91.0,439.0,-348.0,22
1472,CA1500424,LANDS OF PROMISE MWC,ROSAMOND,KERN,93560,COMMUNITY,171,65,DISTRICT 19 - TEHACHAPI,9712015,"MCL,  AVERAGE",ARSENIC,0.016 MG/L,0.010 MG/L,2015-01-01,2015-03-31,919019,2009-01-23,FORMAL ENFORCEMENT ACTION ISSUED,89.0,-2169.0,2258.0,24
1473,CA1500424,LANDS OF PROMISE MWC,ROSAMOND,KERN,93560,COMMUNITY,171,65,DISTRICT 19 - TEHACHAPI,9712015,"MCL,  AVERAGE",ARSENIC,0.016 MG/L,0.010 MG/L,2015-01-01,2015-03-31,9719008,2015-12-14,FORMAL ENFORCEMENT ACTION ISSUED,89.0,347.0,-258.0,24
1474,CA1500424,LANDS OF PROMISE MWC,ROSAMOND,KERN,93560,COMMUNITY,171,65,DISTRICT 19 - TEHACHAPI,9712016,"MCL,  AVERAGE",ARSENIC,0.015 MG/L,0.010 MG/L,2015-04-01,2015-06-30,9719008,2015-12-14,FORMAL ENFORCEMENT ACTION ISSUED,90.0,257.0,-167.0,26
1475,CA1500424,LANDS OF PROMISE MWC,ROSAMOND,KERN,93560,COMMUNITY,171,65,DISTRICT 19 - TEHACHAPI,9712016,"MCL,  AVERAGE",ARSENIC,0.015 MG/L,0.010 MG/L,2015-04-01,2015-06-30,919019,2009-01-23,FORMAL ENFORCEMENT ACTION ISSUED,90.0,-2259.0,2349.0,26
1476,CA1500424,LANDS OF PROMISE MWC,ROSAMOND,KERN,93560,COMMUNITY,171,65,DISTRICT 19 - TEHACHAPI,9712017,"MCL,  AVERAGE",ARSENIC,0.017 MG/L,0.010 MG/L,2015-07-01,2015-09-30,9719008,2015-12-14,FORMAL ENFORCEMENT ACTION ISSUED,91.0,166.0,-75.0,28
1477,CA1500424,LANDS OF PROMISE MWC,ROSAMOND,KERN,93560,COMMUNITY,171,65,DISTRICT 19 - TEHACHAPI,9712017,"MCL,  AVERAGE",ARSENIC,0.017 MG/L,0.010 MG/L,2015-07-01,2015-09-30,919019,2009-01-23,FORMAL ENFORCEMENT ACTION ISSUED,91.0,-2350.0,2441.0,28
1478,CA1500424,LANDS OF PROMISE MWC,ROSAMOND,KERN,93560,COMMUNITY,171,65,DISTRICT 19 - TEHACHAPI,9712018,"MCL,  AVERAGE",ARSENIC,0.017 MG/L,0.010 MG/L,2015-10-01,2015-12-31,919019,2009-01-23,FORMAL ENFORCEMENT ACTION ISSUED,91.0,-2442.0,2533.0,30
1479,CA1500424,LANDS OF PROMISE MWC,ROSAMOND,KERN,93560,COMMUNITY,171,65,DISTRICT 19 - TEHACHAPI,9712018,"MCL,  AVERAGE",ARSENIC,0.017 MG/L,0.010 MG/L,2015-10-01,2015-12-31,9719010,2018-03-05,STATE INTENTIONAL NO ACTION TAKEN,91.0,886.0,-795.0,30
1480,CA1500424,LANDS OF PROMISE MWC,ROSAMOND,KERN,93560,COMMUNITY,171,65,DISTRICT 19 - TEHACHAPI,9712019,"MCL,  AVERAGE",ARSENIC,0.016 MG/L,0.010 MG/L,2016-01-01,2016-03-31,9719010,2018-03-05,STATE INTENTIONAL NO ACTION TAKEN,90.0,794.0,-704.0,32
1481,CA1500424,LANDS OF PROMISE MWC,ROSAMOND,KERN,93560,COMMUNITY,171,65,DISTRICT 19 - TEHACHAPI,9712019,"MCL,  AVERAGE",ARSENIC,0.016 MG/L,0.010 MG/L,2016-01-01,2016-03-31,919019,2009-01-23,FORMAL ENFORCEMENT ACTION ISSUED,90.0,-2534.0,2624.0,32
1482,CA1500424,LANDS OF PROMISE MWC,ROSAMOND,KERN,93560,COMMUNITY,171,65,DISTRICT 19 - TEHACHAPI,9712020,"MCL,  AVERAGE",ARSENIC,0.017 MG/L,0.010 MG/L,2016-04-01,2016-06-30,919019,2009-01-23,FORMAL ENFORCEMENT ACTION ISSUED,90.0,-2625.0,2715.0,34
1483,CA1500424,LANDS OF PROMISE MWC,ROSAMOND,KERN,93560,COMMUNITY,171,65,DISTRICT 19 - TEHACHAPI,9712020,"MCL,  AVERAGE",ARSENIC,0.017 MG/L,0.010 MG/L,2016-04-01,2016-06-30,9719010,2018-03-05,STATE INTENTIONAL NO ACTION TAKEN,90.0,703.0,-613.0,34
1484,CA1500424,LANDS OF PROMISE MWC,ROSAMOND,KERN,93560,COMMUNITY,171,65,DISTRICT 19 - TEHACHAPI,9712021,"MCL,  AVERAGE",ARSENIC,0.015 MG/L,0.010 MG/L,2016-07-01,2016-09-30,9719010,2018-03-05,STATE INTENTIONAL NO ACTION TAKEN,91.0,612.0,-521.0,36
1485,CA1500424,LANDS OF PROMISE MWC,ROSAMOND,KERN,93560,COMMUNITY,171,65,DISTRICT 19 - TEHACHAPI,9712021,"MCL,  AVERAGE",ARSENIC,0.015 MG/L,0.010 MG/L,2016-07-01,2016-09-30,919019,2009-01-23,FORMAL ENFORCEMENT ACTION ISSUED,91.0,-2716.0,2807.0,36
1486,CA1500424,LANDS OF PROMISE MWC,ROSAMOND,KERN,93560,COMMUNITY,171,65,DISTRICT 19 - TEHACHAPI,9712022,"MCL,  AVERAGE",ARSENIC,0.016 MG/L,0.010 MG/L,2016-10-01,2016-12-31,9719008,2015-12-14,FORMAL ENFORCEMENT ACTION ISSUED,91.0,-292.0,383.0,38
1487,CA1500424,LANDS OF PROMISE MWC,ROSAMOND,KERN,93560,COMMUNITY,171,65,DISTRICT 19 - TEHACHAPI,9712023,"MCL,  AVERAGE",ARSENIC,0.017 MG/L,0.010 MG/L,2017-01-01,2017-03-31,9719008,2015-12-14,FORMAL ENFORCEMENT ACTION ISSUED,89.0,-384.0,473.0,39
1488,CA1500424,LANDS OF PROMISE MWC,ROSAMOND,KERN,93560,COMMUNITY,171,65,DISTRICT 19 - TEHACHAPI,9712024,"MCL,  AVERAGE",ARSENIC,.018 MG/L,0.010 MG/L,2017-04-01,2017-06-30,9719008,2015-12-14,FORMAL ENFORCEMENT ACTION ISSUED,90.0,-474.0,564.0,40
1489,CA1500424,LANDS OF PROMISE MWC,ROSAMOND,KERN,93560,COMMUNITY,171,65,DISTRICT 19 - TEHACHAPI,9712026,"MCL,  AVERAGE",ARSENIC,.019 MG/L,0.010 MG/L,2017-07-01,2017-09-30,9719008,2015-12-14,FORMAL ENFORCEMENT ACTION ISSUED,91.0,-565.0,656.0,41
1490,CA1500424,LANDS OF PROMISE MWC,ROSAMOND,KERN,93560,COMMUNITY,171,65,DISTRICT 19 - TEHACHAPI,9712027,"MCL,  AVERAGE",ARSENIC,.020 MG/L,0.010 MG/L,2017-10-01,2017-12-31,9719008,2015-12-14,FORMAL ENFORCEMENT ACTION ISSUED,91.0,-657.0,748.0,42
1491,CA1500424,LANDS OF PROMISE MWC,ROSAMOND,KERN,93560,COMMUNITY,171,65,DISTRICT 19 - TEHACHAPI,9712028,"MCL,  AVERAGE",ARSENIC,0.017 MG/L,0.010 MG/L,2018-01-01,2018-03-31,9719008,2015-12-14,FORMAL ENFORCEMENT ACTION ISSUED,89.0,-749.0,838.0,43
1492,CA1500424,LANDS OF PROMISE MWC,ROSAMOND,KERN,93560,COMMUNITY,171,65,DISTRICT 19 - TEHACHAPI,9712029,"MCL,  AVERAGE",ARSENIC,0.019 MG/L,0.010 MG/L,2018-04-01,2018-06-30,9719008,2015-12-14,FORMAL ENFORCEMENT ACTION ISSUED,90.0,-839.0,929.0,44
1493,CA1500424,LANDS OF PROMISE MWC,ROSAMOND,KERN,93560,COMMUNITY,171,65,DISTRICT 19 - TEHACHAPI,9712030,"MCL,  AVERAGE",ARSENIC,0.018 MG/L,0.010 MG/L,2018-07-01,2018-09-30,9719008,2015-12-14,FORMAL ENFORCEMENT ACTION ISSUED,91.0,-930.0,1021.0,45
1494,CA1500424,LANDS OF PROMISE MWC,ROSAMOND,KERN,93560,COMMUNITY,171,65,DISTRICT 19 - TEHACHAPI,9712032,"MCL,  AVERAGE",ARSENIC,0.018 MG/L,0.010 MG/L,2018-10-01,2018-12-31,9719011,2018-12-18,FORMAL ENFORCEMENT ACTION ISSUED,91.0,78.0,13.0,46
1495,CA1500436,HUNGRY GULCH MWC,WOFFORD HEIGHTS,KERN,93285,COMMUNITY,36,38,DISTRICT 19 - TEHACHAPI,1119040,"MCL,  AVERAGE",ARSENIC,.06600000 MG/L,0.010 MG/L,2012-01-01,2012-03-31,919015,2009-01-23,FORMAL ENFORCEMENT ACTION ISSUED,90.0,-1073.0,1163.0,0
1496,CA1500436,HUNGRY GULCH MWC,WOFFORD HEIGHTS,KERN,93285,COMMUNITY,36,38,DISTRICT 19 - TEHACHAPI,1119040,"MCL,  AVERAGE",ARSENIC,.06600000 MG/L,0.010 MG/L,2012-01-01,2012-03-31,9619006,2018-03-05,STATE INTENTIONAL NO ACTION TAKEN,90.0,2255.0,-2165.0,0
1497,CA1500436,HUNGRY GULCH MWC,WOFFORD HEIGHTS,KERN,93285,COMMUNITY,36,38,DISTRICT 19 - TEHACHAPI,1219041,"MCL,  AVERAGE",ARSENIC,.05400000 MG/L,0.010 MG/L,2012-04-01,2012-06-30,9619006,2018-03-05,STATE INTENTIONAL NO ACTION TAKEN,90.0,2164.0,-2074.0,2
1498,CA1500436,HUNGRY GULCH MWC,WOFFORD HEIGHTS,KERN,93285,COMMUNITY,36,38,DISTRICT 19 - TEHACHAPI,1219041,"MCL,  AVERAGE",ARSENIC,.05400000 MG/L,0.010 MG/L,2012-04-01,2012-06-30,919015,2009-01-23,FORMAL ENFORCEMENT ACTION ISSUED,90.0,-1164.0,1254.0,2
1499,CA1500436,HUNGRY GULCH MWC,WOFFORD HEIGHTS,KERN,93285,COMMUNITY,36,38,DISTRICT 19 - TEHACHAPI,1219042,"MCL,  AVERAGE",ARSENIC,.06900000 MG/L,0.010 MG/L,2012-07-01,2012-09-30,919015,2009-01-23,FORMAL ENFORCEMENT ACTION ISSUED,91.0,-1255.0,1346.0,4
1500,CA1500436,HUNGRY GULCH MWC,WOFFORD HEIGHTS,KERN,93285,COMMUNITY,36,38,DISTRICT 19 - TEHACHAPI,1219042,"MCL,  AVERAGE",ARSENIC,.06900000 MG/L,0.010 MG/L,2012-07-01,2012-09-30,9619006,2018-03-05,STATE INTENTIONAL NO ACTION TAKEN,91.0,2073.0,-1982.0,4
1501,CA1500436,HUNGRY GULCH MWC,WOFFORD HEIGHTS,KERN,93285,COMMUNITY,36,38,DISTRICT 19 - TEHACHAPI,9919007,"MCL,  AVERAGE",ARSENIC,0.074 MG/L,0.010 MG/L,2012-10-01,2012-12-31,919015,2009-01-23,FORMAL ENFORCEMENT ACTION ISSUED,91.0,-1347.0,1438.0,6
1502,CA1500436,HUNGRY GULCH MWC,WOFFORD HEIGHTS,KERN,93285,COMMUNITY,36,38,DISTRICT 19 - TEHACHAPI,9919007,"MCL,  AVERAGE",ARSENIC,0.074 MG/L,0.010 MG/L,2012-10-01,2012-12-31,9619006,2018-03-05,STATE INTENTIONAL NO ACTION TAKEN,91.0,1981.0,-1890.0,6
1503,CA1500436,HUNGRY GULCH MWC,WOFFORD HEIGHTS,KERN,93285,COMMUNITY,36,38,DISTRICT 19 - TEHACHAPI,9919008,"MCL,  AVERAGE",ARSENIC,0.076 MG/L,0.010 MG/L,2013-01-01,2013-03-31,919015,2009-01-23,FORMAL ENFORCEMENT ACTION ISSUED,89.0,-1439.0,1528.0,8
1504,CA1500436,HUNGRY GULCH MWC,WOFFORD HEIGHTS,KERN,93285,COMMUNITY,36,38,DISTRICT 19 - TEHACHAPI,9919008,"MCL,  AVERAGE",ARSENIC,0.076 MG/L,0.010 MG/L,2013-01-01,2013-03-31,9619006,2018-03-05,STATE INTENTIONAL NO ACTION TAKEN,89.0,1889.0,-1800.0,8
1505,CA1500436,HUNGRY GULCH MWC,WOFFORD HEIGHTS,KERN,93285,COMMUNITY,36,38,DISTRICT 19 - TEHACHAPI,9919009,"MCL,  AVERAGE",ARSENIC,0.070 MG/L,0.010 MG/L,2013-04-01,2013-06-30,9619006,2018-03-05,STATE INTENTIONAL NO ACTION TAKEN,90.0,1799.0,-1709.0,10
1506,CA1500436,HUNGRY GULCH MWC,WOFFORD HEIGHTS,KERN,93285,COMMUNITY,36,38,DISTRICT 19 - TEHACHAPI,9919009,"MCL,  AVERAGE",ARSENIC,0.070 MG/L,0.010 MG/L,2013-04-01,2013-06-30,919015,2009-01-23,FORMAL ENFORCEMENT ACTION ISSUED,90.0,-1529.0,1619.0,10
1507,CA1500436,HUNGRY GULCH MWC,WOFFORD HEIGHTS,KERN,93285,COMMUNITY,36,38,DISTRICT 19 - TEHACHAPI,9919010,"MCL,  AVERAGE",ARSENIC,0.072 MG/L,0.010 MG/L,2013-07-01,2013-09-30,9619006,2018-03-05,STATE INTENTIONAL NO ACTION TAKEN,91.0,1708.0,-1617.0,12
1508,CA1500436,HUNGRY GULCH MWC,WOFFORD HEIGHTS,KERN,93285,COMMUNITY,36,38,DISTRICT 19 - TEHACHAPI,9919010,"MCL,  AVERAGE",ARSENIC,0.072 MG/L,0.010 MG/L,2013-07-01,2013-09-30,919015,2009-01-23,FORMAL ENFORCEMENT ACTION ISSUED,91.0,-1620.0,1711.0,12
1509,CA1500436,HUNGRY GULCH MWC,WOFFORD HEIGHTS,KERN,93285,COMMUNITY,36,38,DISTRICT 19 - TEHACHAPI,9919011,"MCL,  AVERAGE",ARSENIC,0.075 MG/L,0.010 MG/L,2013-10-01,2013-12-31,9619006,2018-03-05,STATE INTENTIONAL NO ACTION TAKEN,91.0,1616.0,-1525.0,14
1510,CA1500436,HUNGRY GULCH MWC,WOFFORD HEIGHTS,KERN,93285,COMMUNITY,36,38,DISTRICT 19 - TEHACHAPI,9919011,"MCL,  AVERAGE",ARSENIC,0.075 MG/L,0.010 MG/L,2013-10-01,2013-12-31,919015,2009-01-23,FORMAL ENFORCEMENT ACTION ISSUED,91.0,-1712.0,1803.0,14
1511,CA1500436,HUNGRY GULCH MWC,WOFFORD HEIGHTS,KERN,93285,COMMUNITY,36,38,DISTRICT 19 - TEHACHAPI,9919012,"MCL,  AVERAGE",ARSENIC,0.079 MG/L,0.010 MG/L,2014-01-01,2014-03-31,919015,2009-01-23,FORMAL ENFORCEMENT ACTION ISSUED,89.0,-1804.0,1893.0,16
1512,CA1500436,HUNGRY GULCH MWC,WOFFORD HEIGHTS,KERN,93285,COMMUNITY,36,38,DISTRICT 19 - TEHACHAPI,9919012,"MCL,  AVERAGE",ARSENIC,0.079 MG/L,0.010 MG/L,2014-01-01,2014-03-31,9619006,2018-03-05,STATE INTENTIONAL NO ACTION TAKEN,89.0,1524.0,-1435.0,16
1513,CA1500436,HUNGRY GULCH MWC,WOFFORD HEIGHTS,KERN,93285,COMMUNITY,36,38,DISTRICT 19 - TEHACHAPI,9919013,"MCL,  AVERAGE",ARSENIC,0.087 MG/L,0.010 MG/L,2014-04-01,2014-06-30,9619006,2018-03-05,STATE INTENTIONAL NO ACTION TAKEN,90.0,1434.0,-1344.0,18
1514,CA1500436,HUNGRY GULCH MWC,WOFFORD HEIGHTS,KERN,93285,COMMUNITY,36,38,DISTRICT 19 - TEHACHAPI,9919013,"MCL,  AVERAGE",ARSENIC,0.087 MG/L,0.010 MG/L,2014-04-01,2014-06-30,919015,2009-01-23,FORMAL ENFORCEMENT ACTION ISSUED,90.0,-1894.0,1984.0,18
1515,CA1500436,HUNGRY GULCH MWC,WOFFORD HEIGHTS,KERN,93285,COMMUNITY,36,38,DISTRICT 19 - TEHACHAPI,9919014,"MCL,  AVERAGE",ARSENIC,0.082 MG/L,0.010 MG/L,2014-07-01,2014-09-30,919015,2009-01-23,FORMAL ENFORCEMENT ACTION ISSUED,91.0,-1985.0,2076.0,20
1516,CA1500436,HUNGRY GULCH MWC,WOFFORD HEIGHTS,KERN,93285,COMMUNITY,36,38,DISTRICT 19 - TEHACHAPI,9919014,"MCL,  AVERAGE",ARSENIC,0.082 MG/L,0.010 MG/L,2014-07-01,2014-09-30,9619006,2018-03-05,STATE INTENTIONAL NO ACTION TAKEN,91.0,1343.0,-1252.0,20
1517,CA1500436,HUNGRY GULCH MWC,WOFFORD HEIGHTS,KERN,93285,COMMUNITY,36,38,DISTRICT 19 - TEHACHAPI,9919015,"MCL,  AVERAGE",ARSENIC,0.081 MG/L,0.010 MG/L,2014-10-01,2014-12-31,9619006,2018-03-05,STATE INTENTIONAL NO ACTION TAKEN,91.0,1251.0,-1160.0,22
1518,CA1500436,HUNGRY GULCH MWC,WOFFORD HEIGHTS,KERN,93285,COMMUNITY,36,38,DISTRICT 19 - TEHACHAPI,9919015,"MCL,  AVERAGE",ARSENIC,0.081 MG/L,0.010 MG/L,2014-10-01,2014-12-31,919015,2009-01-23,FORMAL ENFORCEMENT ACTION ISSUED,91.0,-2077.0,2168.0,22
1519,CA1500436,HUNGRY GULCH MWC,WOFFORD HEIGHTS,KERN,93285,COMMUNITY,36,38,DISTRICT 19 - TEHACHAPI,9919016,"MCL,  AVERAGE",ARSENIC,0.078 MG/L,0.010 MG/L,2015-01-01,2015-03-31,9619009,2018-08-10,STATE INTENTIONAL NO ACTION TAKEN,89.0,1317.0,-1228.0,24
1520,CA1500436,HUNGRY GULCH MWC,WOFFORD HEIGHTS,KERN,93285,COMMUNITY,36,38,DISTRICT 19 - TEHACHAPI,9919016,"MCL,  AVERAGE",ARSENIC,0.078 MG/L,0.010 MG/L,2015-01-01,2015-03-31,9619003,2015-04-30,FORMAL ENFORCEMENT ACTION ISSUED,89.0,119.0,-30.0,24
1521,CA1500436,HUNGRY GULCH MWC,WOFFORD HEIGHTS,KERN,93285,COMMUNITY,36,38,DISTRICT 19 - TEHACHAPI,9919017,"MCL,  AVERAGE",ARSENIC,0.076 MG/L,0.010 MG/L,2015-04-01,2015-06-30,9619003,2015-04-30,FORMAL ENFORCEMENT ACTION ISSUED,90.0,29.0,61.0,26
1522,CA1500436,HUNGRY GULCH MWC,WOFFORD HEIGHTS,KERN,93285,COMMUNITY,36,38,DISTRICT 19 - TEHACHAPI,9919017,"MCL,  AVERAGE",ARSENIC,0.076 MG/L,0.010 MG/L,2015-04-01,2015-06-30,9619009,2018-08-10,STATE INTENTIONAL NO ACTION TAKEN,90.0,1227.0,-1137.0,26
1523,CA1500436,HUNGRY GULCH MWC,WOFFORD HEIGHTS,KERN,93285,COMMUNITY,36,38,DISTRICT 19 - TEHACHAPI,9919018,"MCL,  AVERAGE",ARSENIC,0.068 MG/L,0.010 MG/L,2015-07-01,2015-09-30,9619003,2015-04-30,FORMAL ENFORCEMENT ACTION ISSUED,91.0,-62.0,153.0,28
1524,CA1500436,HUNGRY GULCH MWC,WOFFORD HEIGHTS,KERN,93285,COMMUNITY,36,38,DISTRICT 19 - TEHACHAPI,9919018,"MCL,  AVERAGE",ARSENIC,0.068 MG/L,0.010 MG/L,2015-07-01,2015-09-30,9619009,2018-08-10,STATE INTENTIONAL NO ACTION TAKEN,91.0,1136.0,-1045.0,28
1525,CA1500436,HUNGRY GULCH MWC,WOFFORD HEIGHTS,KERN,93285,COMMUNITY,36,38,DISTRICT 19 - TEHACHAPI,9919019,"MCL,  AVERAGE",ARSENIC,0.071 MG/L,0.010 MG/L,2015-10-01,2015-12-31,9619003,2015-04-30,FORMAL ENFORCEMENT ACTION ISSUED,91.0,-154.0,245.0,30
1526,CA1500436,HUNGRY GULCH MWC,WOFFORD HEIGHTS,KERN,93285,COMMUNITY,36,38,DISTRICT 19 - TEHACHAPI,9919019,"MCL,  AVERAGE",ARSENIC,0.071 MG/L,0.010 MG/L,2015-10-01,2015-12-31,9619009,2018-08-10,STATE INTENTIONAL NO ACTION TAKEN,91.0,1044.0,-953.0,30
1527,CA1500436,HUNGRY GULCH MWC,WOFFORD HEIGHTS,KERN,93285,COMMUNITY,36,38,DISTRICT 19 - TEHACHAPI,9919020,"MCL,  AVERAGE",ARSENIC,0.074 MG/L,0.010 MG/L,2016-01-01,2016-03-31,9619003,2015-04-30,FORMAL ENFORCEMENT ACTION ISSUED,90.0,-246.0,336.0,32
1528,CA1500436,HUNGRY GULCH MWC,WOFFORD HEIGHTS,KERN,93285,COMMUNITY,36,38,DISTRICT 19 - TEHACHAPI,9919020,"MCL,  AVERAGE",ARSENIC,0.074 MG/L,0.010 MG/L,2016-01-01,2016-03-31,9619009,2018-08-10,STATE INTENTIONAL NO ACTION TAKEN,90.0,952.0,-862.0,32
